Site,Event Month,O&O Ad Views
Crackle Yahoo App,Jan-17,0
Crackle Yahoo App,Apr-17,0
Crackle Yahoo App,May-17,2
Crackle Yahoo App,Jul-17,0
Crackle Yahoo App,Aug-17,1
Crackle Yahoo App,Sep-17,0
Crackle Yahoo App,Jan-17,8
Crackle Yahoo App,Oct-17,2
Crackle Yahoo App,Nov-17,40
Crackle Yahoo App,Dec-17,251
Crackle Yahoo App,Apr-17,3
Crackle Yahoo App,Jun-17,170
Crackle Yahoo App,Jul-17,2
Crackle Yahoo App,Aug-17,173
Crackle Yahoo App,Sep-17,4
Crackle XboxOne App Stream - US,Oct-17,84
Crackle XboxOne App Stream - US,Nov-17,"2,479"
Crackle XboxOne App Stream - US,Dec-17,171
Crackle XboxOne App Stream - US,Oct-17,"3,115"
Crackle XboxOne App Stream - US,Nov-17,"7,151"
Crackle XboxOne App Stream - US,Dec-17,"3,574"
Crackle XboxOne App Stream - US,Jul-17,28
Crackle XboxOne App Stream - US,Aug-17,279
Crackle XboxOne App Stream - US,Sep-17,111
Crackle XboxOne App Stream - US,Oct-17,632
Crackle XboxOne App Stream - US,Nov-17,"21,897"
Crackle XboxOne App Stream - US,Dec-17,751
Crackle XboxOne App Stream - US,Oct-17,"38,864"
Crackle XboxOne App Stream - US,Nov-17,"68,005"
Crackle XboxOne App Stream - US,Dec-17,"39,247"
Crackle XboxOne App Stream - US,Jun-17,0
Crackle XboxOne App Stream - US,Jul-17,1
Crackle XboxOne App Stream - US,Aug-17,297
Crackle XboxOne App Stream - US,Sep-17,183
Crackle XboxOne App Stream - US,Oct-17,"494,466"
Crackle XboxOne App Stream - US,Nov-17,"574,978"
Crackle XboxOne App Stream - US,Dec-17,"538,134"
Crackle XboxOne App Stream - US,Jun-17,"1,232"
Crackle XboxOne App Stream - US,Jul-17,"5,026"
Crackle XboxOne App Stream - US,Aug-17,"9,640"
Crackle XboxOne App Stream - US,Sep-17,"10,895"
Crackle XboxOne App Stream - US,Oct-17,"422,906"
Crackle XboxOne App Stream - US,Nov-17,"875,773"
Crackle XboxOne App Stream - US,Dec-17,"1,059,389"
Crackle XboxOne App Stream - US,Jun-17,"1,262"
