MONTH,YEAR,PLATFORM_NAME,UNIQUES,MINUTES,STREAMS,UNIQUES_REG,PLATFORM_TYPE
1,2017,PlayStation 3 Store,277,2037.149996,273,1,Console
1,2017,Roku,600261,188563131.7,4512798,54054,CTV
1,2017,ComediansInCarsGettingCoffee.com,398351,16162598.52,1087134,1,Other
1,2017,PlayStation Vita,4748,601493.3998,15413,1,Console
1,2017,Crackle.com,969980,62188795.26,1529595,77839,Desktop
1,2017,PlayStation 3,102663,36182047.73,836318,1,Console
1,2017,BRAVIA Internet Video Link,54352,17901664.72,478665,1,CTV
1,2017,Vizio TV,168366,32507108.83,610164,6408,CTV
1,2017,Android TV,80423,9525711.333,197760,8162,CTV
1,2017,Android Tablet,178082,15525114.65,413264,13032,Mobile
1,2017,m.Crackle.com,32,8.433333,0,1,Desktop
1,2017,LG TV,79783,8341979.5,242668,3,CTV
1,2017,Apple TV,223023,47362955.79,1517935,180511,CTV
1,2017,Windows Phone,4511,172672.1167,10765,1,Mobile
1,2017,Android Phone,427015,41927385.26,1035903,28227,Mobile
1,2017,iPhone,239077,27186685.23,1269843,45917,Mobile
1,2017,Toshiba TV,145,17324.71667,247,1,CTV
1,2017,Samsung TV,76960,11571015.63,370694,4728,CTV
1,2017,,678661,16179001.52,2505,33,NULL
1,2017,Xbox One,157378,30201233.4,1422677,44182,Console
1,2017,Amazon Fire TV & Stick,182995,41323630.03,1330126,54780,CTV
1,2017,Sony Opera TV,19596,2974895.633,69652,1,CTV
1,2017,iPad,138794,21275217.67,913436,19282,Mobile
1,2017,Windows 8,29840,3861234.285,104113,1,Desktop
1,2017,m.crackle.com,679998,1973730.29,38543,102982,Desktop
1,2017,Xbox 360,68586,25837743.35,847072,1,Console
1,2017,Chromecast,74009,14457468.98,204091,1,CTV
1,2017,Sony TV,158756,20872259.82,477500,1,CTV
1,2017,Yahoo Widgets,315,546.333327,7,1,Other
1,2017,PlayStation 4,179713,31275768.1,1462869,42690,Console
1,2017,Blackberry Phone,254,430.749998,0,1,Mobile
2,2017,m.Crackle.com,25,1.266667,0,1,Desktop
2,2017,iPhone,201335,21226510.08,985237,38762,Mobile
2,2017,Android Tablet,149431,12321013.8,304274,10755,Mobile
2,2017,,521485,14695448.57,1074,28,NULL
2,2017,Blackberry Phone,192,361.866668,0,1,Mobile
2,2017,Chromecast,52193,10513808.45,135848,1,CTV
2,2017,Android Phone,369493,34175223.4,799774,24279,Mobile
2,2017,Toshiba TV,128,24541.1,440,1,CTV
2,2017,Crackle.com,860559,47399171.43,1147017,58630,Desktop
2,2017,PlayStation 3 Store,772,11888.41664,819,1,Console
2,2017,Apple TV,179702,37658610.32,1135701,146579,CTV
2,2017,Xbox One,127658,25666500.54,1184107,36993,Console
2,2017,Yahoo Widgets,249,229.166643,0,1,Other
2,2017,iPad,115141,15566795.66,663622,16223,Mobile
2,2017,Android TV,72520,8461382.3,164670,6991,CTV
2,2017,m.crackle.com,1004054,1918443.022,81519,66517,Desktop
2,2017,Roku,494832,172013291.6,4120443,45242,CTV
2,2017,Sony TV,134496,15478289.97,374458,3,CTV
2,2017,PlayStation 3,88099,29823561.97,696352,1,Console
